image,class
v_BlowDryHair_g11_c06.avi_frame8.jpg,BlowDryHair
v_BrushingTeeth_g16_c01.avi_frame5.jpg,BrushingTeeth
v_BlowDryHair_g12_c04.avi_frame18.jpg,BlowDryHair
v_BrushingTeeth_g18_c07.avi_frame6.jpg,BrushingTeeth
v_BrushingTeeth_g25_c06.avi_frame7.jpg,BrushingTeeth
v_BlowDryHair_g10_c02.avi_frame9.jpg,BlowDryHair
v_ApplyEyeMakeup_g25_c01.avi_frame8.jpg,ApplyEyeMakeup
v_BrushingTeeth_g17_c04.avi_frame1.jpg,BrushingTeeth
v_Haircut_g17_c01.avi_frame1.jpg,Haircut
v_ApplyEyeMakeup_g09_c01.avi_frame0.jpg,ApplyEyeMakeup
v_Typing_g20_c06.avi_frame4.jpg,Typing
v_Haircut_g24_c04.avi_frame2.jpg,Haircut
v_Typing_g25_c03.avi_frame7.jpg,Typing
v_ApplyLipstick_g23_c03.avi_frame2.jpg,ApplyLipstick
v_BrushingTeeth_g10_c04.avi_frame5.jpg,BrushingTeeth
v_ApplyLipstick_g15_c03.avi_frame1.jpg,ApplyLipstick
v_BrushingTeeth_g25_c07.avi_frame10.jpg,BrushingTeeth
v_Haircut_g15_c01.avi_frame6.jpg,Haircut
v_ApplyEyeMakeup_g24_c01.avi_frame1.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g19_c03.avi_frame1.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g20_c02.avi_frame5.jpg,ApplyEyeMakeup
v_ApplyLipstick_g12_c04.avi_frame0.jpg,ApplyLipstick
v_Typing_g12_c07.avi_frame0.jpg,Typing
v_BrushingTeeth_g22_c05.avi_frame3.jpg,BrushingTeeth
v_ApplyEyeMakeup_g19_c01.avi_frame5.jpg,ApplyEyeMakeup
v_BlowDryHair_g11_c06.avi_frame12.jpg,BlowDryHair
v_ApplyLipstick_g18_c01.avi_frame3.jpg,ApplyLipstick
v_Haircut_g08_c03.avi_frame0.jpg,Haircut
v_Haircut_g17_c04.avi_frame2.jpg,Haircut
v_Typing_g18_c03.avi_frame0.jpg,Typing
v_Typing_g22_c03.avi_frame5.jpg,Typing
v_ApplyLipstick_g22_c05.avi_frame3.jpg,ApplyLipstick
v_Typing_g23_c04.avi_frame6.jpg,Typing
v_BlowDryHair_g18_c02.avi_frame7.jpg,BlowDryHair
v_BrushingTeeth_g19_c04.avi_frame13.jpg,BrushingTeeth
v_ApplyLipstick_g08_c04.avi_frame1.jpg,ApplyLipstick
v_Haircut_g20_c04.avi_frame8.jpg,Haircut
v_Typing_g11_c05.avi_frame5.jpg,Typing
v_Typing_g12_c02.avi_frame5.jpg,Typing
v_BrushingTeeth_g11_c01.avi_frame9.jpg,BrushingTeeth
v_Typing_g20_c01.avi_frame7.jpg,Typing
v_BlowDryHair_g09_c02.avi_frame3.jpg,BlowDryHair
v_BlowDryHair_g17_c01.avi_frame7.jpg,BlowDryHair
v_ApplyLipstick_g24_c05.avi_frame6.jpg,ApplyLipstick
v_ApplyLipstick_g22_c06.avi_frame4.jpg,ApplyLipstick
v_ApplyEyeMakeup_g09_c05.avi_frame2.jpg,ApplyEyeMakeup
v_BlowDryHair_g18_c02.avi_frame4.jpg,BlowDryHair
v_BlowDryHair_g08_c05.avi_frame2.jpg,BlowDryHair
v_ApplyEyeMakeup_g25_c07.avi_frame3.jpg,ApplyEyeMakeup
v_Haircut_g16_c04.avi_frame4.jpg,Haircut
v_Haircut_g10_c02.avi_frame1.jpg,Haircut
v_Typing_g13_c03.avi_frame0.jpg,Typing
v_ApplyEyeMakeup_g21_c01.avi_frame7.jpg,ApplyEyeMakeup
v_Typing_g16_c04.avi_frame6.jpg,Typing
v_ApplyEyeMakeup_g15_c06.avi_frame7.jpg,ApplyEyeMakeup
v_BlowDryHair_g11_c04.avi_frame2.jpg,BlowDryHair
v_ApplyEyeMakeup_g15_c01.avi_frame6.jpg,ApplyEyeMakeup
v_BrushingTeeth_g19_c03.avi_frame16.jpg,BrushingTeeth
v_BrushingTeeth_g19_c05.avi_frame14.jpg,BrushingTeeth
v_BrushingTeeth_g19_c04.avi_frame12.jpg,BrushingTeeth
v_ApplyEyeMakeup_g19_c02.avi_frame1.jpg,ApplyEyeMakeup
v_BlowDryHair_g11_c05.avi_frame6.jpg,BlowDryHair
v_ApplyEyeMakeup_g25_c03.avi_frame2.jpg,ApplyEyeMakeup
v_Typing_g14_c01.avi_frame7.jpg,Typing
v_ApplyEyeMakeup_g25_c01.avi_frame7.jpg,ApplyEyeMakeup
v_Haircut_g10_c07.avi_frame3.jpg,Haircut
v_ApplyEyeMakeup_g13_c01.avi_frame1.jpg,ApplyEyeMakeup
v_Haircut_g22_c04.avi_frame4.jpg,Haircut
v_BlowDryHair_g12_c06.avi_frame2.jpg,BlowDryHair
v_BrushingTeeth_g08_c06.avi_frame7.jpg,BrushingTeeth
v_Haircut_g25_c01.avi_frame9.jpg,Haircut
v_BrushingTeeth_g22_c04.avi_frame2.jpg,BrushingTeeth
v_ApplyLipstick_g09_c02.avi_frame5.jpg,ApplyLipstick
v_ApplyEyeMakeup_g24_c07.avi_frame4.jpg,ApplyEyeMakeup
v_Typing_g24_c03.avi_frame2.jpg,Typing
v_BlowDryHair_g14_c04.avi_frame5.jpg,BlowDryHair
v_Haircut_g08_c02.avi_frame6.jpg,Haircut
v_Typing_g13_c02.avi_frame1.jpg,Typing
v_BlowDryHair_g09_c01.avi_frame0.jpg,BlowDryHair
v_Haircut_g09_c02.avi_frame3.jpg,Haircut
v_Haircut_g13_c03.avi_frame1.jpg,Haircut
v_ApplyEyeMakeup_g13_c03.avi_frame6.jpg,ApplyEyeMakeup
v_BrushingTeeth_g15_c04.avi_frame5.jpg,BrushingTeeth
v_BlowDryHair_g22_c04.avi_frame2.jpg,BlowDryHair
v_ApplyEyeMakeup_g24_c01.avi_frame3.jpg,ApplyEyeMakeup
